T[K],T[C],HF[W/g],Cp[J/(gK)],Cp[J/(mo K)],lit-Cp[J/(molK),lit_Cp_(J/mol_K_DIVI,DIVI_B OTRO_SET,H
223.00,-50.000,-0.22750,1.3680,142.47,,,,0.0000,
223.02,-49.980,-0.22750,1.3680,142.47,,,,2.8501,
223.04,-49.960,-0.22750,1.3680,142.47,,,,5.7002,
223.05,-49.950,-0.22750,1.3680,142.47,,,,7.1242,
223.07,-49.930,-0.22750,1.3680,142.47,,,,9.9743,
223.09,-49.910,-0.22750,1.3680,142.47,,,,12.822,
223.10,-49.900,-0.22750,1.3680,142.47,,,,14.248,
223.12,-49.880,-0.22760,1.3690,142.58,,,,17.097,
223.14,-49.860,-0.22760,1.3690,142.58,,,,19.949,
223.15,-49.850,-0.22760,1.3690,142.58,,132.06,130.08,21.374,
223.17,-49.830,-0.22760,1.3690,142.58,,,,24.227,
223.19,-49.810,-0.22760,1.3690,142.58,,,,27.079,
223.20,-49.800,-0.22760,1.3690,142.58,,,,28.504,
223.22,-49.780,-0.22760,1.3690,142.58,,,,31.356,
223.24,-49.760,-0.22760,1.3700,142.68,,,,34.209,
223.25,-49.750,-0.22760,1.3700,142.68,,,,35.635,
223.27,-49.730,-0.22770,1.3700,142.68,,,,38.490,
223.29,-49.710,-0.22770,1.3700,142.68,,,,41.344,
223.30,-49.700,-0.22770,1.3700,142.68,,,,42.770,
223.32,-49.680,-0.22770,1.3700,142.68,,,,45.624,
223.34,-49.660,-0.22770,1.3700,142.68,,,,48.476,
223.35,-49.650,-0.22770,1.3700,142.68,,,,49.904,
223.37,-49.630,-0.22770,1.3700,142.68,,,,52.757,
223.39,-49.610,-0.22770,1.3700,142.68,,,,55.611,
223.40,-49.600,-0.22770,1.3700,142.68,,,,57.037,
223.42,-49.580,-0.22780,1.3700,142.68,,,,59.891,
223.44,-49.560,-0.22780,1.3700,142.68,,,,62.745,
223.45,-49.550,-0.22780,1.3700,142.68,,,,64.171,
223.47,-49.530,-0.22780,1.3700,142.68,,,,67.026,
223.49,-49.510,-0.22780,1.3700,142.68,,,,69.880,
223.50,-49.500,-0.22780,1.3700,142.68,,,,71.306,
223.52,-49.480,-0.22780,1.3700,142.68,,,,74.160,
223.54,-49.460,-0.22780,1.3700,142.68,,,,77.014,
223.55,-49.450,-0.22780,1.3700,142.68,,,,78.441,
223.57,-49.430,-0.22790,1.3710,142.79,,,,81.296,
223.59,-49.410,-0.22790,1.3710,142.79,,,,84.150,
223.60,-49.400,-0.22790,1.3710,142.79,,,,85.579,
223.62,-49.380,-0.22790,1.3710,142.79,,,,88.433,
223.64,-49.360,-0.22790,1.3710,142.79,,,,91.290,
223.65,-49.350,-0.22790,1.3710,142.79,,,,92.717,
223.67,-49.330,-0.22790,1.3710,142.79,,,,95.573,
223.69,-49.310,-0.22790,1.3710,142.79,,,,98.430,
223.70,-49.300,-0.22790,1.3710,142.79,,,,99.857,
223.72,-49.280,-0.22800,1.3710,142.79,,,,102.71,
223.74,-49.260,-0.22800,1.3710,142.79,,,,105.57,
223.75,-49.250,-0.22800,1.3710,142.79,,,,107.00,
223.77,-49.230,-0.22800,1.3710,142.79,,,,109.85,
223.78,-49.220,-0.22800,1.3720,142.89,,,,111.28,
223.80,-49.200,-0.22800,1.3720,142.89,,,,114.14,
223.82,-49.180,-0.22800,1.3720,142.89,,,,117.00,
223.83,-49.170,-0.22800,1.3720,142.89,,,,118.43,
223.85,-49.150,-0.22800,1.3720,142.89,,,,121.28,
223.87,-49.130,-0.22810,1.3720,142.89,,,,124.14,
223.89,-49.110,-0.22810,1.3720,142.89,,,,127.00,
223.90,-49.100,-0.22810,1.3720,142.89,,,,128.43,
223.92,-49.080,-0.22810,1.3720,142.89,,,,131.29,
223.94,-49.060,-0.22810,1.3720,142.89,,,,134.14,
223.95,-49.050,-0.22810,1.3720,142.89,,,,135.57,
223.97,-49.030,-0.22810,1.3720,142.89,,,,138.43,
223.98,-49.020,-0.22810,1.3720,142.89,,,,139.86,
224.00,-49.000,-0.22820,1.3720,142.89,,,,142.72,
224.02,-48.980,-0.22820,1.3720,142.89,,,,145.58,
224.04,-48.960,-0.22820,1.3720,142.89,,,,148.43,
224.05,-48.950,-0.22820,1.3720,142.89,,,,149.86,
